query_label,repository_name,owner_login,full_name,url,description,topics,created_at,pushed_at,stars,forks,primary_language,issues_total,pull_requests_total,releases_total,contributors_count,rejection_reasons
stars_35001_50000,Made-With-ML,GokuMohandas,GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,"Learn how to develop, deploy and iterate on production-grade ML applications.",machine-learning | deep-learning | pytorch | natural-language-processing | data-science | python | mlops | data-engineering | data-quality | distributed-ml | llms | ray | distributed-training,2018-11-05T03:44:27Z,2026-03-04T23:44:21Z,46959,7371,Jupyter Notebook,77,197,1,1,contributors_count < 2
stars_35001_50000,WeChatMsg,LC044,LC044/WeChatMsg,https://github.com/LC044/WeChatMsg,,wechat | pyqt | chatgpt | llms,2023-01-11T05:03:49Z,2025-12-30T13:31:16Z,40702,4919,,0,92,0,1,contributors_count < 2
stars_35001_50000,HEU_KMS_Activator,zbezj,zbezj/HEU_KMS_Activator,https://github.com/zbezj/HEU_KMS_Activator,,,2019-06-23T00:49:35Z,2026-03-11T06:05:09Z,40608,3833,,197,2,50,1,contributors_count < 2
stars_35001_50000,wrk,wg,wg/wrk,https://github.com/wg/wrk,Modern HTTP benchmarking tool,,2012-03-20T11:12:28Z,2023-12-30T10:33:51Z,40163,3029,C,408,132,0,1,contributors_count < 2
stars_gt_50000,linux,torvalds,torvalds/linux,https://github.com/torvalds/linux,Linux kernel source tree,,2011-09-04T22:48:12Z,2026-03-26T01:51:20Z,225175,61218,C,0,0,0,0,contributors_count < 2
