full_name,pr_number,issue_number,issue_to_pr_days,pr_to_merge_days,merge_to_release_days
viatra/massif,31,,,0.10375,430.8445486111111
viatra/massif,39,,,2.5056712962962964,211.1459375
viatra/massif,50,,,0.07876157407407407,377.02393518518517
viatra/massif,64,,,7.596990740740741,221.14532407407407
viatra/massif,66,,,0.01855324074074074,227.92175925925926
viatra/massif,68,,,0.006782407407407407,222.93328703703705
viatra/massif,73,,,185.81712962962962,197.0002199074074
viatra/massif,76,,,0.11491898148148148,151.04057870370372
viatra/massif,84,,,0.21064814814814814,0.012962962962962963
viatra/massif,93,,,5.934571759259259,204.02444444444444
viatra/massif,94,,,5.892430555555555,204.0241435185185
viatra/massif,97,95.0,0.26769675925925923,4.870856481481481,204.02390046296296
viatra/massif,98,,,0.9245601851851852,204.02370370370372
viatra/massif,100,,,0.017511574074074075,203.9108101851852
viatra/massif,106,,,0.00019675925925925926,202.00855324074075
viatra/massif,109,102.0,4.230219907407408,0.9792361111111111,197.01846064814814
viatra/massif,110,108.0,3.971747685185185,0.9916550925925925,197.00449074074075
viatra/massif,112,96.0,11.846539351851852,0.11819444444444445,197.00422453703703
viatra/massif,113,107.0,4.9385763888888885,0.06460648148148149,197.0019675925926
viatra/massif,114,,,0.010787037037037038,196.97663194444445
viatra/massif,115,,,1.022349537037037,195.10372685185186
viatra/massif,116,,,0.9127199074074074,195.1025
viatra/massif,118,,,0.015023148148148148,194.9488773148148
viatra/massif,119,,,0.9093055555555556,194.01746527777777
viatra/massif,123,,,0.020185185185185184,191.97422453703703
viatra/massif,125,,,2.003923611111111,189.0936111111111
viatra/massif,127,,,0.05488425925925926,189.02552083333333
viatra/massif,129,,,0.15763888888888888,187.92002314814815
viatra/massif,130,,,0.14172453703703702,187.93576388888889
viatra/massif,132,,,0.014224537037037037,187.92519675925925
viatra/massif,134,,,0.003969907407407407,186.90988425925926
viatra/massif,138,,,0.6792939814814815,182.06873842592591
viatra/massif,140,,,5.885879629629629,153.9746412037037
viatra/massif,144,,,8.022916666666667,125.8763425925926
viatra/massif,146,,,0.16649305555555555,125.92916666666666
viatra/massif,148,,,0.6666319444444444,125.09184027777778
viatra/massif,152,,,1.8751273148148149,92.95922453703703
viatra/massif,153,,,0.007719907407407407,92.93255787037037
viatra/massif,158,,,13.35275462962963,57.83600694444444
viatra/massif,161,,,0.0954861111111111,62.8034837962963
viatra/massif,163,,,0.03428240740740741,57.83555555555556
viatra/massif,169,,,2.1589699074074074,4.590208333333333
viatra/massif,172,,,47.83005787037037,
viatra/massif,175,,,0.031655092592592596,1.8838310185185185
viatra/massif,177,,,0.009675925925925926,1.1076851851851852
viatra/massif,182,,,56.20744212962963,
viatra/massif,185,,,0.042986111111111114,
viatra/massif,187,,,0.01607638888888889,
viatra/massif,189,,,0.006122685185185185,
viatra/massif,190,,,0.8166898148148148,
viatra/massif,197,,,1.5686111111111112,
viatra/massif,199,,,0.006215277777777778,
viatra/massif,200,,,0.009768518518518518,
viatra/massif,202,,,84.33753472222222,
viatra/massif,207,,,0.5148611111111111,
viatra/massif,208,,,0.05394675925925926,
viatra/massif,209,,,4.577800925925926,
viatra/massif,210,,,0.46306712962962965,
viatra/massif,211,,,0.4600694444444444,
viatra/massif,212,,,0.41274305555555557,
viatra/massif,213,,,0.07016203703703704,
viatra/massif,216,,,0.91125,
WildcardSearch/Advanced-Sidebox,13,,,0.1310300925925926,426.07265046296294
WildcardSearch/Advanced-Sidebox,15,,,0.7838773148148148,424.87091435185187
WildcardSearch/Advanced-Sidebox,20,,,0.014224537037037037,418.35884259259257
WildcardSearch/Advanced-Sidebox,24,,,0.40391203703703704,414.81717592592594
WildcardSearch/Advanced-Sidebox,28,,,0.26219907407407406,411.0777777777778
WildcardSearch/Advanced-Sidebox,44,,,0.005578703703703704,406.9707986111111
WildcardSearch/Advanced-Sidebox,59,,,1.2519444444444445,393.10873842592594
WildcardSearch/Advanced-Sidebox,83,,,1.0865509259259258,287.69475694444446
WildcardSearch/Advanced-Sidebox,90,,,0.3780324074074074,206.08525462962962
WildcardSearch/Advanced-Sidebox,109,,,0.01119212962962963,176.8937962962963
WildcardSearch/Advanced-Sidebox,117,,,0.0002199074074074074,84.79836805555556
WildcardSearch/Advanced-Sidebox,121,,,0.00018518518518518518,70.07434027777778
WildcardSearch/Advanced-Sidebox,124,,,0.00011574074074074075,58.11052083333333
WildcardSearch/Advanced-Sidebox,134,,,0.00010416666666666667,53.14548611111111
WildcardSearch/Advanced-Sidebox,141,,,0.0001273148148148148,39.920706018518516
WildcardSearch/Advanced-Sidebox,147,,,2.52875,24.97675925925926
WildcardSearch/Advanced-Sidebox,151,,,0.0017824074074074075,22.04246527777778
WildcardSearch/Advanced-Sidebox,153,,,0.00032407407407407406,20.831886574074073
WildcardSearch/Advanced-Sidebox,155,,,0.005381944444444444,16.81951388888889
WildcardSearch/Advanced-Sidebox,160,,,0.00019675925925925926,0.030833333333333334
WildcardSearch/Advanced-Sidebox,199,,,0.00431712962962963,0.03560185185185185
WildcardSearch/Advanced-Sidebox,211,,,0.00017361111111111112,0.009652777777777777
WildcardSearch/Advanced-Sidebox,214,,,0.0002199074074074074,0.0040625
WildcardSearch/Advanced-Sidebox,228,,,0.0001388888888888889,0.0090625
WildcardSearch/Advanced-Sidebox,234,,,0.0010763888888888889,42.875972222222224
WildcardSearch/Advanced-Sidebox,239,,,0.000462962962962963,0.0010532407407407407
WildcardSearch/Advanced-Sidebox,245,,,0.00017361111111111112,0.017025462962962964
WildcardSearch/Advanced-Sidebox,249,,,0.00017361111111111112,0.0004398148148148148
WildcardSearch/Advanced-Sidebox,251,,,0.9138425925925926,195.09789351851853
WildcardSearch/Advanced-Sidebox,258,,,0.0002662037037037037,4.0440625
WildcardSearch/Advanced-Sidebox,261,,,0.0008217592592592593,0.026585648148148146
WildcardSearch/Advanced-Sidebox,267,,,0.00018518518518518518,0.0008912037037037037
WildcardSearch/Advanced-Sidebox,270,,,0.0001388888888888889,0.0005092592592592592
WildcardSearch/Advanced-Sidebox,282,,,0.0004398148148148148,0.0007986111111111112
WildcardSearch/Advanced-Sidebox,286,,,0.0002777777777777778,0.00045138888888888887
WildcardSearch/Advanced-Sidebox,288,,,0.00020833333333333335,0.0004976851851851852
WildcardSearch/Advanced-Sidebox,294,,,0.0005324074074074074,0.00034722222222222224
WildcardSearch/Advanced-Sidebox,296,,,0.00010416666666666667,0.00038194444444444446
WildcardSearch/Advanced-Sidebox,313,,,0.002476851851851852,0.002210648148148148
WildcardSearch/Advanced-Sidebox,323,,,0.001388888888888889,0.001261574074074074
WildcardSearch/Advanced-Sidebox,334,,,0.00011574074074074075,0.0013773148148148147
WildcardSearch/Advanced-Sidebox,348,,,0.0007060185185185185,0.0021759259259259258
WildcardSearch/Advanced-Sidebox,349,,,0.00011574074074074075,0.0006481481481481481
WildcardSearch/Advanced-Sidebox,352,,,0.0005555555555555556,0.0006134259259259259
WildcardSearch/Advanced-Sidebox,357,,,0.0015393518518518519,0.0021875
WildcardSearch/Advanced-Sidebox,389,,,0.0010185185185185184,0.0009837962962962962
AnyBlok/AnyBlok,2,,,0.3131597222222222,23.69042824074074
AnyBlok/AnyBlok,4,,,0.04278935185185185,23.359525462962964
AnyBlok/AnyBlok,5,,,0.014004629629629629,21.05296296296296
AnyBlok/AnyBlok,6,,,0.02238425925925926,20.958368055555557
AnyBlok/AnyBlok,7,,,0.4863310185185185,20.052407407407408
AnyBlok/AnyBlok,8,,,0.4688425925925926,20.053900462962964
AnyBlok/AnyBlok,9,,,0.010358796296296297,17.82204861111111
AnyBlok/AnyBlok,10,,,6.993321759259259,3.7878356481481483
AnyBlok/AnyBlok,11,,,0.00986111111111111,0.6768055555555555
AnyBlok/AnyBlok,12,,,0.008969907407407407,0.6544675925925926
AnyBlok/AnyBlok,13,,,0.01125,0.6336111111111111
AnyBlok/AnyBlok,14,,,0.0021643518518518518,0.00030092592592592595
AnyBlok/AnyBlok,15,,,41.36494212962963,0.03357638888888889
AnyBlok/AnyBlok,16,,,0.0013078703703703703,0.0017708333333333332
AnyBlok/AnyBlok,17,,,0.00034722222222222224,0.0008796296296296296
AnyBlok/AnyBlok,18,,,0.7333217592592592,0.00038194444444444446
AnyBlok/AnyBlok,19,,,15.167685185185185,35.12835648148148
AnyBlok/AnyBlok,20,,,15.193460648148148,35.10038194444444
AnyBlok/AnyBlok,21,,,0.1247800925925926,0.0007291666666666667
AnyBlok/AnyBlok,23,,,0.08300925925925925,0.0005787037037037037
AnyBlok/AnyBlok,24,,,0.010405092592592593,0.0006597222222222222
